epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,804.393,1.41359,1.29066,1.45688,0.6231,0.65846,0.69427,0.38176,1.57623,1.2519,1.5338,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452,0.0243435,0.00811452
48,824.967,1.40545,1.29071,1.45294,0.63688,0.72822,0.75393,0.41785,1.54522,1.16752,1.49373,0.0241128,0.0080376,0.0241128,0.0080376,0.0241128,0.0080376,0.0241128,0.0080376
49,843.87,1.4124,1.27732,1.44975,0.68469,0.75186,0.76428,0.41001,1.59151,1.12281,1.49344,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
50,863.026,1.41956,1.29432,1.45616,0.69048,0.68673,0.73192,0.40152,1.56507,1.23306,1.4796,0.0236411,0.00788035,0.0236411,0.00788035,0.0236411,0.00788035,0.0236411,0.00788035
51,884.808,1.40646,1.28259,1.4464,0.69581,0.68442,0.73755,0.41119,1.54885,1.14968,1.46874,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007,0.0234002,0.00780007
52,904.279,1.39767,1.2672,1.43851,0.68794,0.68934,0.7465,0.4269,1.51767,1.13437,1.47407,0.0231562,0.00771873,0.0231562,0.00771873,0.0231562,0.00771873,0.0231562,0.00771873
53,922.626,1.39913,1.27457,1.44065,0.6815,0.70484,0.75473,0.42415,1.5314,1.11481,1.46021,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637,0.0229091,0.00763637
54,941.384,1.38704,1.25162,1.43044,0.65282,0.73528,0.76519,0.42022,1.54413,1.11755,1.46963,0.022659,0.007553,0.022659,0.007553,0.022659,0.007553,0.022659,0.007553
55,963.165,1.39842,1.25413,1.43481,0.72243,0.69473,0.76112,0.42981,1.49837,1.12457,1.44714,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868,0.022406,0.00746868
56,981.822,1.38661,1.26268,1.43379,0.61723,0.74036,0.74876,0.42253,1.52514,1.15216,1.46429,0.0221502,0.00738341,0.0221502,0.00738341,0.0221502,0.00738341,0.0221502,0.00738341
57,1002.02,1.38729,1.26171,1.42895,0.67754,0.7419,0.76677,0.42391,1.55369,1.10326,1.47511,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
58,1023.67,1.37843,1.23776,1.42857,0.68858,0.72925,0.77181,0.43102,1.52187,1.08212,1.45962,0.0216307,0.00721023,0.0216307,0.00721023,0.0216307,0.00721023,0.0216307,0.00721023
59,1042.47,1.38008,1.25513,1.43427,0.69999,0.72307,0.76398,0.43154,1.54099,1.09472,1.46255,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237,0.0213671,0.00712237
60,1059.52,1.37279,1.25113,1.42919,0.74577,0.66494,0.75357,0.42025,1.55854,1.13239,1.47883,0.0211011,0.00703371,0.0211011,0.00703371,0.0211011,0.00703371,0.0211011,0.00703371
61,1080.07,1.37394,1.24814,1.42642,0.70719,0.69931,0.7539,0.43001,1.52081,1.11285,1.49263,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428,0.0208328,0.00694428
62,1096.77,1.37194,1.23673,1.42972,0.6755,0.71185,0.75799,0.4263,1.53638,1.12093,1.4946,0.0205624,0.00685413,0.0205624,0.00685413,0.0205624,0.00685413,0.0205624,0.00685413
63,1113.19,1.36396,1.21128,1.41438,0.73803,0.73445,0.77897,0.43981,1.53307,1.08248,1.47594,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328,0.0202898,0.00676328
64,1131.9,1.3616,1.22081,1.41402,0.70016,0.7144,0.77356,0.43422,1.51117,1.07602,1.45642,0.0200153,0.00667177,0.0200153,0.00667177,0.0200153,0.00667177,0.0200153,0.00667177
65,1150.17,1.36252,1.20989,1.41576,0.71651,0.72154,0.78211,0.44178,1.52944,1.07291,1.48621,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
66,1166.75,1.36621,1.21863,1.41462,0.74441,0.71247,0.78642,0.43141,1.55039,1.08229,1.48487,0.0194607,0.00648691,0.0194607,0.00648691,0.0194607,0.00648691,0.0194607,0.00648691
67,1183.15,1.35667,1.2222,1.412,0.73883,0.72054,0.78522,0.45119,1.50743,1.06639,1.47499,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363,0.0191809,0.00639363
68,1200.46,1.35213,1.19104,1.40836,0.69452,0.7374,0.76855,0.43937,1.50799,1.07744,1.47135,0.0188995,0.00629983,0.0188995,0.00629983,0.0188995,0.00629983,0.0188995,0.00629983
69,1220.61,1.34751,1.18897,1.40491,0.74229,0.69282,0.7728,0.43901,1.49751,1.0836,1.46721,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555,0.0186167,0.00620555
70,1238.41,1.34736,1.21057,1.40692,0.71182,0.71158,0.76386,0.43633,1.50049,1.10383,1.47329,0.0183325,0.00611083,0.0183325,0.00611083,0.0183325,0.00611083,0.0183325,0.00611083
71,1256.01,1.33724,1.19419,1.40039,0.68355,0.70991,0.74671,0.42896,1.51733,1.11741,1.47544,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157,0.0180471,0.0060157
72,1275.8,1.33529,1.18123,1.39662,0.68338,0.7335,0.75826,0.43411,1.50588,1.08049,1.47493,0.0177606,0.00592019,0.0177606,0.00592019,0.0177606,0.00592019,0.0177606,0.00592019
73,1294.25,1.33553,1.18336,1.39471,0.76881,0.69613,0.77034,0.43418,1.50892,1.07177,1.46147,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
74,1312.57,1.33828,1.17603,1.3944,0.75521,0.68699,0.76595,0.43581,1.51193,1.07654,1.47233,0.0171846,0.00572821,0.0171846,0.00572821,0.0171846,0.00572821,0.0171846,0.00572821
75,1330.39,1.33238,1.1649,1.39094,0.68309,0.72349,0.7449,0.42656,1.49479,1.08971,1.45678,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181,0.0168954,0.00563181
76,1346.18,1.31618,1.15142,1.38328,0.73916,0.71279,0.77394,0.43365,1.52358,1.06426,1.47213,0.0166056,0.00553518,0.0166056,0.00553518,0.0166056,0.00553518,0.0166056,0.00553518
77,1358.36,1.32726,1.16592,1.39286,0.72605,0.74079,0.7777,0.44318,1.48371,1.05397,1.44674,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837,0.0163151,0.00543837
78,1370.57,1.32676,1.16545,1.3899,0.71398,0.71563,0.76805,0.43961,1.51989,1.06869,1.46479,0.0160242,0.00534141,0.0160242,0.00534141,0.0160242,0.00534141,0.0160242,0.00534141
79,1382.81,1.31329,1.14695,1.37879,0.75106,0.68334,0.76563,0.43577,1.50408,1.07002,1.4617,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434,0.015733,0.00524434
80,1395.1,1.32509,1.16887,1.39059,0.75813,0.69737,0.77097,0.4426,1.49843,1.07722,1.44545,0.0154416,0.00514719,0.0154416,0.00514719,0.0154416,0.00514719,0.0154416,0.00514719
81,1407.32,1.32288,1.16595,1.38826,0.71036,0.71558,0.75715,0.43394,1.53023,1.08981,1.48963,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
82,1419.53,1.31693,1.14436,1.38588,0.71204,0.69167,0.7626,0.44108,1.49959,1.074,1.46938,0.0148584,0.00495281,0.0148584,0.00495281,0.0148584,0.00495281,0.0148584,0.00495281
83,1431.74,1.31936,1.14689,1.38345,0.72833,0.71395,0.77099,0.43782,1.51324,1.07072,1.48576,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566,0.014567,0.00485566
84,1443.96,1.31519,1.14599,1.38439,0.72554,0.72252,0.77707,0.43361,1.52693,1.05075,1.47999,0.0142758,0.00475859,0.0142758,0.00475859,0.0142758,0.00475859,0.0142758,0.00475859
85,1456.11,1.29544,1.11599,1.36451,0.68973,0.75586,0.7863,0.4444,1.52255,1.03568,1.4728,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
86,1468.23,1.3098,1.13358,1.37698,0.72173,0.70368,0.77444,0.43546,1.51463,1.04433,1.48334,0.0136944,0.00456482,0.0136944,0.00456482,0.0136944,0.00456482,0.0136944,0.00456482
87,1480.44,1.29579,1.10614,1.37248,0.72336,0.71492,0.76716,0.44339,1.50868,1.05169,1.47864,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819,0.0134046,0.00446819
88,1492.45,1.30541,1.12514,1.37195,0.75733,0.69767,0.78013,0.44791,1.51589,1.05254,1.47694,0.0131154,0.00437179,0.0131154,0.00437179,0.0131154,0.00437179,0.0131154,0.00437179
89,1504.6,1.29513,1.1066,1.35953,0.71833,0.69951,0.77071,0.44662,1.50021,1.03839,1.47356,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
90,1516.8,1.29976,1.11317,1.36443,0.74115,0.70098,0.77319,0.44548,1.49936,1.03685,1.46685,0.0125394,0.00417981,0.0125394,0.00417981,0.0125394,0.00417981,0.0125394,0.00417981
91,1528.88,1.29,1.09957,1.36127,0.72633,0.70666,0.77993,0.44768,1.51394,1.03737,1.47605,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843,0.0122529,0.0040843
92,1541.02,1.27339,1.08589,1.35069,0.77728,0.69093,0.78392,0.44968,1.51382,1.04448,1.48087,0.0119675,0.00398917,0.0119675,0.00398917,0.0119675,0.00398917,0.0119675,0.00398917
93,1553.24,1.2696,1.0892,1.34763,0.78445,0.6897,0.77793,0.44838,1.51893,1.03589,1.49249,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
94,1565.42,1.28352,1.09419,1.3582,0.72962,0.71068,0.76749,0.4423,1.51558,1.05178,1.47324,0.0114005,0.00380017,0.0114005,0.00380017,0.0114005,0.00380017,0.0114005,0.00380017
95,1577.6,1.27873,1.08568,1.35346,0.70767,0.71517,0.76851,0.45234,1.49136,1.04377,1.45429,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
96,1589.73,1.2684,1.07889,1.34693,0.71655,0.72507,0.77053,0.45089,1.50926,1.0493,1.46829,0.0108393,0.00361309,0.0108393,0.00361309,0.0108393,0.00361309,0.0108393,0.00361309
97,1601.97,1.27538,1.08052,1.34687,0.76006,0.71059,0.77421,0.4479,1.50234,1.04014,1.45985,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
98,1614.07,1.26296,1.07011,1.34201,0.73827,0.7048,0.76956,0.44887,1.50319,1.04808,1.46318,0.0102847,0.00342823,0.0102847,0.00342823,0.0102847,0.00342823,0.0102847,0.00342823
99,1626.12,1.27162,1.09698,1.3527,0.75804,0.69698,0.77254,0.44848,1.50975,1.04312,1.47103,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
100,1638.28,1.26013,1.06461,1.34252,0.76237,0.69655,0.77239,0.443,1.50025,1.05194,1.46575,0.00973761,0.00324587,0.00973761,0.00324587,0.00973761,0.00324587,0.00973761,0.00324587
101,1652.37,1.25795,1.065,1.33964,0.71999,0.70879,0.76581,0.4481,1.49677,1.0426,1.46223,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
